head,metric,seed_count,mean,std_population,minimum,maximum
FILE_FAKE_PROB,auc,3,0.4997294857360899,0.0021510440920081667,0.4976286708052657,0.5026852589140266
FILE_FAKE_PROB,eer,3,0.5016956096047366,0.0005718169403144456,0.500890239070136,0.5021615059971949
FILE_FAKE_PROB,brier,3,0.32359763679201414,0.0007413429942057262,0.3227496884452476,0.3245555789920608
FILE_FAKE_PROB,log_loss,3,0.9251599168276122,0.0035258125718834713,0.9215048120926782,0.9299246767925389
FILE_FAKE_PROB,ece_15,3,0.3838953669211367,0.002405923948585441,0.3813761743187937,0.38713560870895913
FILE_FAKE_PROB,selection_component,3,0.4983043903952635,0.0005718169403144456,0.4978384940028051,0.49910976092986403
FILE_FAKE_PROB,RobustSelectionScore,3,0.49684735193428037,0.011180013079291446,0.4814357158517551,0.5076109704308613
VOICE_FAKE_PROB,auc,3,0.49883864866233835,0.007444841966133022,0.48839502979789884,0.505216583784864
VOICE_FAKE_PROB,eer,3,0.500134620048168,0.007220866082748646,0.49428269728748575,0.5103081748552778
VOICE_FAKE_PROB,brier,3,0.32589856316402194,0.0012781087205693954,0.32493191677516414,0.32770458773123856
VOICE_FAKE_PROB,log_loss,3,0.9315797919220269,0.003345452709835844,0.9283849713538992,0.9361992746578568
VOICE_FAKE_PROB,ece_15,3,0.4060337228010216,0.0014462118445612948,0.40400501826926266,0.40727293389181024
VOICE_FAKE_PROB,selection_component,3,0.49986537995183206,0.007220866082748645,0.4896918251447222,0.5057173027125142
VOICE_FAKE_PROB,RobustSelectionScore,3,0.49684735193428037,0.011180013079291446,0.4814357158517551,0.5076109704308613
MUSIC_FAKE_PROB,auc,3,0.4784130424965,0.031063978171587125,0.43779072393081336,0.5132095921961793
MUSIC_FAKE_PROB,eer,3,0.5070865134203435,0.03495936374095182,0.4705098676782731,0.554181908503816
MUSIC_FAKE_PROB,brier,3,0.33223560489931353,0.011116614257300582,0.3193275397664152,0.3464617066697822
MUSIC_FAKE_PROB,log_loss,3,0.9449944298405984,0.02336968841747943,0.9174193615309088,0.9745593278716448
MUSIC_FAKE_PROB,ece_15,3,0.319434947106577,0.009116605488496441,0.3105505152423789,0.33196844824481864
MUSIC_FAKE_PROB,selection_component,3,0.4929134865796565,0.03495936374095182,0.445818091496184,0.5294901323217269
MUSIC_FAKE_PROB,RobustSelectionScore,3,0.49684735193428037,0.011180013079291446,0.4814357158517551,0.5076109704308613
VOICE_PRESENT_PROB,auc,3,0.4916579767293292,0.01901358865630353,0.46770224127571447,0.5142125587164346
VOICE_PRESENT_PROB,eer,3,0.5102156096389397,0.007415940191435233,0.5041154530195713,0.5206538758386818
VOICE_PRESENT_PROB,brier,3,0.3226757294931655,0.0013732461218638303,0.3207561646499472,0.32389077741642225
VOICE_PRESENT_PROB,log_loss,3,0.9213039159673432,0.0043301712506262965,0.9151815395228363,0.9244789224369784
VOICE_PRESENT_PROB,ece_15,3,0.4884877412023625,0.0016408689997285443,0.4861879443500872,0.48990573931164755
VOICE_PRESENT_PROB,selection_component,3,0.4916579767293292,0.01901358865630353,0.46770224127571447,0.5142125587164346
VOICE_PRESENT_PROB,RobustSelectionScore,3,0.49684735193428037,0.011180013079291446,0.4814357158517551,0.5076109704308613
MUSIC_PRESENT_PROB,auc,3,0.49930135304216744,0.011416681050391732,0.4848004762136235,0.512700314670359
MUSIC_PRESENT_PROB,eer,3,0.4996565101589461,0.005878452877487064,0.49282501870828,0.50717498129172
MUSIC_PRESENT_PROB,brier,3,0.3263819556043606,0.0008299237864146326,0.32520893191360767,0.3270026990518671
MUSIC_PRESENT_PROB,log_loss,3,0.9313473134675553,0.0023868221447104843,0.9279840075321353,0.9332769781573602
MUSIC_PRESENT_PROB,ece_15,3,0.4659198070409669,0.0014246381164047673,0.4639672218299367,0.4673261564907707
MUSIC_PRESENT_PROB,selection_component,3,0.49930135304216744,0.011416681050391732,0.4848004762136235,0.512700314670359
MUSIC_PRESENT_PROB,RobustSelectionScore,3,0.49684735193428037,0.011180013079291446,0.4814357158517551,0.5076109704308613
