scope,axis,slice,head,weight,observed_count,positive_count,status,auc,eer,brier,log_loss,ece_15,selection_component
validation_seed_20260830_contract_fixture_non_model,sample_rate_hz,32000,FILE_FAKE_PROB,0.45,49,49,INSUFFICIENT_CLASSES,,,,,,
validation_seed_20260830_contract_fixture_non_model,sample_rate_hz,32000,VOICE_FAKE_PROB,0.18,0,0,INSUFFICIENT_CLASSES,,,,,,
validation_seed_20260830_contract_fixture_non_model,sample_rate_hz,32000,MUSIC_FAKE_PROB,0.27,49,49,INSUFFICIENT_CLASSES,,,,,,
validation_seed_20260830_contract_fixture_non_model,sample_rate_hz,32000,VOICE_PRESENT_PROB,0.05,49,0,INSUFFICIENT_CLASSES,,,,,,
validation_seed_20260830_contract_fixture_non_model,sample_rate_hz,32000,MUSIC_PRESENT_PROB,0.05,49,49,INSUFFICIENT_CLASSES,,,,,,
validation_seed_20260830_contract_fixture_non_model,sample_rate_hz,44100,FILE_FAKE_PROB,0.45,358,6,OK,0.46117424242424243,0.6486742424242424,0.36474997207931203,1.036632176759896,0.5182800874734846,0.35132575757575757
validation_seed_20260830_contract_fixture_non_model,sample_rate_hz,44100,VOICE_FAKE_PROB,0.18,0,0,INSUFFICIENT_CLASSES,,,,,,
validation_seed_20260830_contract_fixture_non_model,sample_rate_hz,44100,MUSIC_FAKE_PROB,0.27,358,6,OK,0.45359848484848486,0.49573863636363635,0.31387998903595754,0.9008786489943686,0.46944314674180393,0.5042613636363636
validation_seed_20260830_contract_fixture_non_model,sample_rate_hz,44100,VOICE_PRESENT_PROB,0.05,6,0,INSUFFICIENT_CLASSES,,,,,,
validation_seed_20260830_contract_fixture_non_model,sample_rate_hz,44100,MUSIC_PRESENT_PROB,0.05,358,358,INSUFFICIENT_CLASSES,,,,,,
validation_seed_20260830_contract_fixture_non_model,sample_rate_hz,48000,FILE_FAKE_PROB,0.45,41,27,OK,0.5582010582010583,0.4365079365079365,0.30948418444837267,0.8872452865499205,0.30175543347821115,0.5634920634920635
validation_seed_20260830_contract_fixture_non_model,sample_rate_hz,48000,VOICE_FAKE_PROB,0.18,0,0,INSUFFICIENT_CLASSES,,,,,,
validation_seed_20260830_contract_fixture_non_model,sample_rate_hz,48000,MUSIC_FAKE_PROB,0.27,41,27,OK,0.42328042328042326,0.49074074074074076,0.3241156329715241,0.8894330923619824,0.35584946957251556,0.5092592592592593
validation_seed_20260830_contract_fixture_non_model,sample_rate_hz,48000,VOICE_PRESENT_PROB,0.05,27,0,INSUFFICIENT_CLASSES,,,,,,
validation_seed_20260830_contract_fixture_non_model,sample_rate_hz,48000,MUSIC_PRESENT_PROB,0.05,41,41,INSUFFICIENT_CLASSES,,,,,,
validation_seed_20260830_contract_fixture_non_model,channels,1,FILE_FAKE_PROB,0.45,13150,11838,OK,0.5126422146127189,0.49471363148438885,0.3235084135094482,0.9271118318067898,0.40603441991443356,0.5052863685156112
validation_seed_20260830_contract_fixture_non_model,channels,1,VOICE_FAKE_PROB,0.18,13053,11744,OK,0.505216583784864,0.49428269728748575,0.3250591849856632,0.9283849713538992,0.40400501826926266,0.5057173027125142
validation_seed_20260830_contract_fixture_non_model,channels,1,MUSIC_FAKE_PROB,0.27,97,94,OK,0.7163120567375887,0.33687943262411346,0.332749420418125,0.9753526081137464,0.4848603803894169,0.6631205673758865
validation_seed_20260830_contract_fixture_non_model,channels,1,VOICE_PRESENT_PROB,0.05,13147,13053,OK,0.47420011051506866,0.521268038161929,0.32064571789444524,0.9149061251867856,0.4883288963516074,0.47420011051506866
validation_seed_20260830_contract_fixture_non_model,channels,1,MUSIC_PRESENT_PROB,0.05,13150,97,OK,0.5368596388553881,0.5042052978301785,0.32725733555902287,0.9340343758125981,0.495743400845961,0.5368596388553881
validation_seed_20260830_contract_fixture_non_model,channels,2,FILE_FAKE_PROB,0.45,390,27,OK,0.4650545862667075,0.5237220691766147,0.3598638510339981,1.0247680397735668,0.46702738854365633,0.4762779308233853
validation_seed_20260830_contract_fixture_non_model,channels,2,VOICE_FAKE_PROB,0.18,0,0,INSUFFICIENT_CLASSES,,,,,,
validation_seed_20260830_contract_fixture_non_model,channels,2,MUSIC_FAKE_PROB,0.27,390,27,OK,0.5632078359351087,0.4522497704315886,0.3159892771427848,0.9030103232782544,0.42925769606964265,0.5477502295684114
validation_seed_20260830_contract_fixture_non_model,channels,2,VOICE_PRESENT_PROB,0.05,27,0,INSUFFICIENT_CLASSES,,,,,,
validation_seed_20260830_contract_fixture_non_model,channels,2,MUSIC_PRESENT_PROB,0.05,390,390,INSUFFICIENT_CLASSES,,,,,,
validation_seed_20260830_contract_fixture_non_model,duration_bucket_seconds,00_to_04,FILE_FAKE_PROB,0.45,2718,2535,OK,0.5176835774565913,0.48636466517929317,0.3241694665160132,0.928830357004119,0.4322442071020052,0.5136353348207068
validation_seed_20260830_contract_fixture_non_model,duration_bucket_seconds,00_to_04,VOICE_FAKE_PROB,0.18,2718,2535,OK,0.5039587846649637,0.48735085847317877,0.3215765496219049,0.9234558346982825,0.42673487237154717,0.5126491415268213
validation_seed_20260830_contract_fixture_non_model,duration_bucket_seconds,00_to_04,MUSIC_FAKE_PROB,0.27,0,0,INSUFFICIENT_CLASSES,,,,,,
validation_seed_20260830_contract_fixture_non_model,duration_bucket_seconds,00_to_04,VOICE_PRESENT_PROB,0.05,2718,2718,INSUFFICIENT_CLASSES,,,,,,
validation_seed_20260830_contract_fixture_non_model,duration_bucket_seconds,00_to_04,MUSIC_PRESENT_PROB,0.05,2718,0,INSUFFICIENT_CLASSES,,,,,,
validation_seed_20260830_contract_fixture_non_model,duration_bucket_seconds,04_to_08,FILE_FAKE_PROB,0.45,6931,6217,OK,0.5244918942323592,0.48999107444167955,0.32361456391429483,0.9284957920538448,0.4053511053548537,0.5100089255583204
validation_seed_20260830_contract_fixture_non_model,duration_bucket_seconds,04_to_08,VOICE_FAKE_PROB,0.18,6931,6217,OK,0.5146384112596302,0.4873841445859347,0.3257120154812842,0.9292811680901366,0.4053046533268219,0.5126158554140653
validation_seed_20260830_contract_fixture_non_model,duration_bucket_seconds,04_to_08,MUSIC_FAKE_PROB,0.27,0,0,INSUFFICIENT_CLASSES,,,,,,
validation_seed_20260830_contract_fixture_non_model,duration_bucket_seconds,04_to_08,VOICE_PRESENT_PROB,0.05,6931,6931,INSUFFICIENT_CLASSES,,,,,,
validation_seed_20260830_contract_fixture_non_model,duration_bucket_seconds,04_to_08,MUSIC_PRESENT_PROB,0.05,6931,0,INSUFFICIENT_CLASSES,,,,,,
validation_seed_20260830_contract_fixture_non_model,duration_bucket_seconds,08_to_15,FILE_FAKE_PROB,0.45,3523,3111,OK,0.4897357637946154,0.5067748172004756,0.3228627549374025,0.9234801569895089,0.3907605072906651,0.49322518279952443
validation_seed_20260830_contract_fixture_non_model,duration_bucket_seconds,08_to_15,VOICE_FAKE_PROB,0.18,3402,2990,OK,0.48642724940740983,0.5073197064649154,0.32662663208052883,0.9307877280326714,0.386572507205275,0.4926802935350846
validation_seed_20260830_contract_fixture_non_model,duration_bucket_seconds,08_to_15,MUSIC_FAKE_PROB,0.27,121,121,INSUFFICIENT_CLASSES,,,,,,
validation_seed_20260830_contract_fixture_non_model,duration_bucket_seconds,08_to_15,VOICE_PRESENT_PROB,0.05,3523,3402,OK,0.46838515020333205,0.5206186443560181,0.3202170653034146,0.9129709910581131,0.4592033637382835,0.46838515020333205
validation_seed_20260830_contract_fixture_non_model,duration_bucket_seconds,08_to_15,MUSIC_PRESENT_PROB,0.05,3523,121,OK,0.5345858780202215,0.4874818410171946,0.3294651670620199,0.9381214452832727,0.4728355531403725,0.5345858780202215
validation_seed_20260830_contract_fixture_non_model,duration_bucket_seconds,15_to_30,FILE_FAKE_PROB,0.45,208,2,OK,0.5728155339805825,0.5,0.35803588287912896,1.016488908141923,0.5176402462169164,0.5
validation_seed_20260830_contract_fixture_non_model,duration_bucket_seconds,15_to_30,VOICE_FAKE_PROB,0.18,2,2,INSUFFICIENT_CLASSES,,,,,,
validation_seed_20260830_contract_fixture_non_model,duration_bucket_seconds,15_to_30,MUSIC_FAKE_PROB,0.27,206,0,INSUFFICIENT_CLASSES,,,,,,
validation_seed_20260830_contract_fixture_non_model,duration_bucket_seconds,15_to_30,VOICE_PRESENT_PROB,0.05,2,2,INSUFFICIENT_CLASSES,,,,,,
validation_seed_20260830_contract_fixture_non_model,duration_bucket_seconds,15_to_30,MUSIC_PRESENT_PROB,0.05,208,206,OK,0.25970873786407767,0.5752427184466019,0.30719181612250873,0.8848928963004481,0.4669930340030868,0.25970873786407767
validation_seed_20260830_contract_fixture_non_model,duration_bucket_seconds,30_plus,FILE_FAKE_PROB,0.45,160,0,INSUFFICIENT_CLASSES,,,,,,
validation_seed_20260830_contract_fixture_non_model,duration_bucket_seconds,30_plus,VOICE_FAKE_PROB,0.18,0,0,INSUFFICIENT_CLASSES,,,,,,
validation_seed_20260830_contract_fixture_non_model,duration_bucket_seconds,30_plus,MUSIC_FAKE_PROB,0.27,160,0,INSUFFICIENT_CLASSES,,,,,,
validation_seed_20260830_contract_fixture_non_model,duration_bucket_seconds,30_plus,VOICE_PRESENT_PROB,0.05,0,0,INSUFFICIENT_CLASSES,,,,,,
validation_seed_20260830_contract_fixture_non_model,duration_bucket_seconds,30_plus,MUSIC_PRESENT_PROB,0.05,160,160,INSUFFICIENT_CLASSES,,,,,,
